State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured
1,93,Marion,Alabama,AL,49,26.50838621940164,84.8,30.9,26.48094612352162,23.112880458756088,10.1,5205.0
1,95,Marshall,Alabama,AL,22,34.8,82.1,27.5,36.8,31.6,7.2,14593.0
1,97,Mobile,Alabama,AL,5,30.8,76.2,26.6,27.2,25.1,6.6,65687.0
1,99,Monroe,Alabama,AL,67,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,8.1,4269.0
1,101,Montgomery,Alabama,AL,7,28.2,75.6,23.9,27.8,20.7,8.5,32259.0
1,103,Morgan,Alabama,AL,14,23.4,74.5,22.5,32.7,28.9,6.7,16097.0
1,105,Perry,Alabama,AL,75,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,2776.0
1,107,Pickens,Alabama,AL,76,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,15.2,12.8,3606.0
1,109,Pike,Alabama,AL,35,24.2,78.92316176470604,29.1,26.48094612352162,16.5,11.3,5696.0
1,111,Randolph,Alabama,AL,72,35.2,78.92316176470604,24.145188848920824,26.48094612352162,22.1,8.1,3575.0
1,113,Russell,Alabama,AL,8,32.8,78.92316176470604,28.9,26.48094612352162,22.0,9.7,8785.0
1,115,St. Clair,Alabama,AL,22,28.2,79.7,27.6,39.0,28.5,13.0,8534.0
1,117,Shelby,Alabama,AL,11,18.9,78.3,20.8,26.7,21.0,4.8,13249.0
1,119,Sumter,Alabama,AL,66,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,11.8,3465.0
1,121,Talladega,Alabama,AL,8,34.1,79.1,32.7,42.2,24.1,10.9,12378.0
1,123,Tallapoosa,Alabama,AL,49,32.1,79.3,23.2,26.48094612352162,29.4,5.6,6488.0
1,125,Tuscaloosa,Alabama,AL,6,27.1,79.0,25.3,29.7,23.8,7.9,23311.0
1,127,Walker,Alabama,AL,24,34.9,79.3,30.5,35.0,33.8,11.5,10818.0
1,129,Washington,Alabama,AL,66,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,10.5,3037.0
1,131,Wilcox,Alabama,AL,75,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.6,2960.0
1,133,Winston,Alabama,AL,41,26.50838621940164,78.92316176470604,28.0,26.48094612352162,26.9,8.5,4592.0
2,13,Aleutians East,Alaska,AK,80,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,488.0
2,16,Aleutians West,Alaska,AK,78,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,854.0
2,20,Anchorage,Alaska,AK,9,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,37239.0
2,50,Bethel,Alaska,AK,86,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,4088.0
2,60,Bristol Bay,Alaska,AK,78,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,153.0
2,68,Denali,Alaska,AK,78,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,276.0
2,70,Dillingham,Alaska,AK,83,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,1133.0
2,90,Fairbanks North Star,Alaska,AK,17,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,11681.0
2,100,Haines,Alaska,AK,80,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,355.0
2,110,Juneau,Alaska,AK,47,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,3926.0
2,122,Kenai Peninsula,Alaska,AK,77,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,8308.0
2,130,Ketchikan Gateway,Alaska,AK,37,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,1804.0
2,150,Kodiak Island,Alaska,AK,78,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,2491.0
