State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,Pop_proportion,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured
1,1,Autauga,Alabama,AL,48612,10.4,26.900000000000002,62.300000000000004,9.800000000000002,0.8999999999999999,80.7,17.3,0.5,0.6000000000000001,1.7,0.016400234048464774,27.8,78.6,24.5,29.1,26.6,14.2,11.7
1,3,Baldwin,Alabama,AL,162586,10.2,23.5,60.300000000000004,14.5,1.7999999999999998,88.4,9.899999999999999,0.5,0.4000000000000001,2.3,0.05485165088874546,27.2,76.2,23.6,30.5,24.6,7.2,12.18
1,5,Barbour,Alabama,AL,28414,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.2999999999999999,3.100000000000001,0.009586033289168891,29.794999999999995,80.08,25.6,31.600000000000005,17.7,6.6,18.04
1,7,Bibb,Alabama,AL,21516,16.8,24.599999999999998,63.300000000000004,10.9,1.2,76.8,22.500000000000004,0.3,0.09999999999999999,1.4,0.0072588545171309166,29.794999999999995,86.6,26.897560975609757,31.600000000000005,23.822916666666675,13.1,15.41
1,9,Blount,Alabama,AL,55725,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,0.018799947386462183,33.5,74.6,24.2,31.600000000000005,23.6,8.4,14.59
1,11,Bullock,Alabama,AL,11055,26.2,24.7,63.2,10.0,2.2,27.8,71.4,0.4,0.2,5.900000000000001,0.003729626170611744,29.794999999999995,80.08,26.897560975609757,31.600000000000005,23.822916666666675,9.6515625,20.76
1,13,Butler,Alabama,AL,20766,20.0,25.599999999999998,58.5,13.6,2.4,57.5,41.9,0.19999999999999998,0.3,0.9,0.007005826961458478,24.5,80.08,22.0,31.600000000000005,27.3,9.5,19.53
1,15,Calhoun,Alabama,AL,112141,16.4,24.1,61.599999999999994,12.7,1.5,78.29999999999998,19.700000000000003,0.4,0.8,2.0000000000000004,0.03783301749421724,29.2,81.9,27.0,33.2,25.5,11.2,14.67
1,17,Chambers,Alabama,AL,35460,16.2,24.8,59.5,13.500000000000002,2.2,60.8,38.6,0.1,0.2,1.2,0.011963142832192894,34.7,84.6,26.897560975609757,31.600000000000005,11.7,17.1,15.6
1,19,Cherokee,Alabama,AL,24522,15.2,21.89999999999999,61.4,15.200000000000001,1.4,93.3,5.5,0.2999999999999999,0.2999999999999999,1.1,0.008272988960266051,29.794999999999995,80.08,26.897560975609757,31.600000000000005,23.6,13.3,14.61
1,21,Chilton,Alabama,AL,41744,14.9,25.0,62.599999999999994,11.3,1.2000000000000002,88.30000000000001,10.5,0.30000000000000004,0.4000000000000001,3.7000000000000006,0.014083176378653698,30.3,82.8,31.2,26.5,30.0,6.0,14.68
1,23,Choctaw,Alabama,AL,14807,18.7,24.900000000000002,59.50000000000001,13.7,2.0,55.7,43.9,0.1,0.1,0.8,0.004995438689122397,29.794999999999995,80.08,26.897560975609757,31.600000000000005,17.1,13.5,18.08
1,25,Clarke,Alabama,AL,27269,19.2,27.300000000000004,58.5,12.399999999999999,1.7999999999999998,55.800000000000004,43.7,0.19999999999999998,0.19999999999999998,0.7,0.009199744554175635,31.5,80.08,26.897560975609757,31.600000000000005,23.822916666666675,15.8,16.84
1,27,Clay,Alabama,AL,13964,14.0,22.400000000000002,60.3,14.9,2.5,84.2,15.0,0.30000000000000004,0.1,2.1,0.004711035716546575,29.794999999999995,80.08,26.897560975609757,31.600000000000005,23.9,12.2,16.61
1,29,Cleburne,Alabama,AL,14460,14.0,23.3,62.599999999999994,12.8,1.4,95.3,3.8,0.3,0.2,1.7999999999999998,0.004878371273364615,29.794999999999995,80.08,26.897560975609757,31.600000000000005,23.822916666666675,10.5,14.57
1,31,Coffee,Alabama,AL,45567,13.7,24.5,61.1,12.9,1.5,77.89999999999999,18.5,0.9,1.2,3.1999999999999997,0.015372942172434676,23.3,80.08,25.5,31.3,23.0,10.3,14.84
1,33,Colbert,Alabama,AL,54660,14.0,23.0,60.9,14.0,2.0,81.9,16.7,0.4,0.3,1.3,0.01844064825740732,30.2,76.9,30.1,31.600000000000005,21.7,13.6,14.89
1,35,Conecuh,Alabama,AL,13257,22.0,25.299999999999997,59.3,13.399999999999999,2.1,55.3,44.099999999999994,0.2,0.1,0.9000000000000001,0.004472515074066024,29.794999999999995,80.08,26.897560975609757,31.600000000000005,12.3,8.2,20.04
1,37,Coosa,Alabama,AL,11162,13.4,23.2,61.2,13.8,1.8000000000000003,67.6,31.6,0.3,0.1,1.5,0.003765724768554345,29.794999999999995,80.08,26.897560975609757,31.600000000000005,23.822916666666675,15.0,18.17
1,39,Covington,Alabama,AL,37003,17.5,23.4,58.69999999999999,15.5,2.5,86.1,12.6,0.5,0.3,0.9000000000000004,0.012483704856729658,28.8,80.08,30.2,31.600000000000005,27.8,12.1,16.47
1,41,Crenshaw,Alabama,AL,13727,17.6,24.200000000000003,58.7,14.899999999999999,2.3,74.60000000000001,24.6,0.4,0.1,0.8,0.0046310790089540855,29.794999999999995,80.08,26.897560975609757,31.600000000000005,23.822916666666675,9.6515625,18.24
1,43,Cullman,Alabama,AL,79886,13.3,23.900000000000002,61.3,13.3,1.5,97.3,1.2,0.40000000000000013,0.3,3.0999999999999996,0.026951145749931238,29.4,76.2,22.2,35.0,27.6,10.0,14.91
