State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,Pop_proportion,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured
1,1,Autauga,Alabama,AL,797.2481775639695,0.17056243410403366,0.44116629590370243,1.0217345812193555,0.16072229367495483,0.014760210643618295,1.3234988877111074,0.2837240490384406,0.008200117024232387,0.009840140429078865,0.027880397882390114,0.016400234048464774,0.4559265065473207,1.2890583962093312,0.40180573418738696,0.47724681081032494,0.436246225689163,0.23288332348819976,0.19188273836703784
1,3,Baldwin,Alabama,AL,8918.11051139757,0.5594868390652037,1.2890137958855183,3.3075545485913516,0.7953489378868092,0.09873297159974181,4.848885938565099,0.54303134379858,0.02742582544437273,0.021940660355498187,0.12615879704411456,0.05485165088874546,1.4919649041738765,4.179695797722404,1.2944989609743929,1.6729753521067365,1.3493506118631384,0.3949318863989673,0.6680931078249197
1,5,Barbour,Alabama,AL,272.3775498784449,0.2118513356906325,0.23294060892680404,0.5991270805730556,0.11119798615435914,0.015337653262670226,0.5003909376946162,0.44862635793310407,0.0038344133156675564,0.002875809986750666,0.029716703196423572,0.009586033289168891,0.2856158618507871,0.7676495457966448,0.2454024522027236,0.302918651937737,0.16967278921828938,0.06326781970851468,0.1729320405366068
1,7,Bibb,Alabama,AL,156.1815137905888,0.12194875588779941,0.17856782112142053,0.45948549093438706,0.07912151423672699,0.0087106254205571,0.5574800269156543,0.16332422663544566,0.002177656355139275,0.0007258854517130916,0.010162396323983282,0.0072588545171309166,0.21627757033791561,0.6286168011835374,0.19524548198760916,0.229379802741337,0.1729270862570668,0.09509099417441501,0.11185894810898743
1,9,Blount,Alabama,AL,1047.627068110605,0.22371937389889998,0.4605987109683235,1.1674767326993016,0.2274793633761924,0.02443993160240084,1.825474891225478,0.028199921079693276,0.009399973693231091,0.0037599894772924365,0.11843966853471175,0.018799947386462183,0.6297982374464831,1.4024760750300787,0.4549587267523848,0.5940783374122051,0.4436787583205075,0.15791955804628233,0.27429123236848324
1,11,Bullock,Alabama,AL,41.23101731611283,0.09771620567002769,0.09212176641411007,0.23571237398266223,0.03729626170611744,0.008205177575345838,0.10368360754300648,0.26629530858167855,0.0014918504682446977,0.0007459252341223488,0.022004794406609296,0.003729626170611744,0.11112421175337689,0.2986684637425885,0.10031784734025931,0.11785618699133113,0.08885057346030273,0.03599672008729492,0.07742703930189981
1,13,Butler,Alabama,AL,145.48300268164675,0.14011653922916956,0.17934917021333702,0.4098408772453209,0.09527924667583529,0.016813984707500347,0.40283505028386246,0.2935441496851102,0.0014011653922916954,0.0021017480884375434,0.00630524426531263,0.007005826961458478,0.17164276055573272,0.5610266230735949,0.1541281931520865,0.22138413198208792,0.19125907604781645,0.06655535613385553,0.13682380055728408
1,15,Calhoun,Alabama,AL,4242.632414819015,0.6204614869051627,0.9117757216106356,2.330513877643782,0.4804793221765589,0.05674952624132586,2.9623252697972093,0.7453104446360798,0.015133206997686896,0.030266413995373793,0.0756660349884345,0.03783301749421724,1.1047241108311434,3.0985241327763924,1.0214914723438655,1.2560561808080124,0.9647419461025396,0.4237297959352331,0.5550103666401669
1,17,Chambers,Alabama,AL,424.21304482956003,0.19380291388152487,0.2966859422383838,0.7118069985154772,0.1615024282346041,0.02631891423082437,0.7273590841973279,0.4617773133226457,0.0011963142832192896,0.002392628566438579,0.014355771398631471,0.011963142832192894,0.41512105627709345,1.0120818836035188,0.32177936378883715,0.3780353134972955,0.13996877113665684,0.2045697424304985,0.18662502818220914
1,19,Cherokee,Alabama,AL,202.8702352836441,0.12574943219604398,0.18117845822982645,0.5079615221603355,0.12574943219604398,0.011582184544372471,0.7718698699928225,0.04550143928146328,0.0024818966880798144,0.0024818966880798144,0.009100287856292657,0.008272988960266051,0.24649370607112694,0.6625009559381053,0.22252322500930247,0.26142645114440727,0.19524253946227882,0.11003075317153849,0.120868368709487
1,21,Chilton,Alabama,AL,587.88811475052,0.2098393280419401,0.3520794094663425,0.8816068413037215,0.1591398930787868,0.01689981165438444,1.2435444742351216,0.14787335197586382,0.00422495291359611,0.00563327055146148,0.05210775260101869,0.014083176378653698,0.42672024427320704,1.1660870041525262,0.43939510301399537,0.373204174034323,0.42249529135961095,0.0844990582719222,0.20674102923863627
1,23,Choctaw,Alabama,AL,73.96746066983533,0.09341470348658881,0.1243864233591477,0.29722860200278267,0.06843751004097683,0.009990877378244794,0.27824593498411754,0.2192997584524732,0.0004995438689122397,0.0004995438689122397,0.003996350951297917,0.004995438689122397,0.14883909574240178,0.40003473022492153,0.13436511674058974,0.15785586257626777,0.08542200158399299,0.06743842230315236,0.09031753149933293
1,25,Clarke,Alabama,AL,250.8678342478154,0.1766350954401722,0.2511530263289949,0.5381850564192746,0.11407683247177787,0.016559540197516143,0.5133457461230004,0.40202883701747527,0.0018399489108351268,0.0018399489108351268,0.006439821187922945,0.009199744554175635,0.2897919534565325,0.7367155438983849,0.24745069010597295,0.2907119279119501,0.2191647478687467,0.14535596395597505,0.1549236982923177
1,27,Clay,Alabama,AL,65.78490274585637,0.06595450003165206,0.1055272000506433,0.2840754537077585,0.07019443217654397,0.011777589291366438,0.39666920733322164,0.07066553574819863,0.0014133107149639729,0.00047110357165465754,0.009893175004747809,0.004711035716546575,0.14036530917450518,0.37725974018104974,0.1267153704440869,0.1488687286428718,0.11259375362546314,0.057474635741868216,0.07825030325183861
