State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic
1,1,Autauga,Alabama,AL,48612,5055.648,13076.628,30285.276,4763.976000000001,437.50800000000004,39229.884,8409.876,243.06,291.672,826.404
1,3,Baldwin,Alabama,AL,162586,16583.772,38207.71,98039.358,23574.97,2926.548,143726.024,16096.014000000001,812.93,650.344,3739.478
1,5,Barbour,Alabama,AL,28414,6279.494000000001,6904.602000000001,17758.75,3296.0239999999994,454.624,14832.108,13297.752,113.656,85.24199999999999,880.8340000000001
1,7,Bibb,Alabama,AL,21516,3614.688,5292.936,13619.628,2345.244,258.192,16524.288,4841.1,64.548,21.516,301.224
1,9,Blount,Alabama,AL,55725,6631.275,13652.625,34605.225,6742.725,724.425,54108.975,835.875,278.625,111.45,3510.675
1,11,Bullock,Alabama,AL,11055,2896.41,2730.585,6986.76,1105.5,243.21000000000004,3073.29,7893.270000000001,44.22,22.11,652.2450000000001
1,13,Butler,Alabama,AL,20766,4153.2,5316.096,12148.11,2824.176,498.384,11940.45,8700.954,41.532,62.298,186.894
1,15,Calhoun,Alabama,AL,112141,18391.124,27025.981,69078.856,14241.907,1682.115,87806.40299999999,22091.777,448.564,897.128,2242.82
1,17,Chambers,Alabama,AL,35460,5744.52,8794.08,21098.7,4787.1,780.12,21559.68,13687.56,35.46,70.92,425.52
1,19,Cherokee,Alabama,AL,24522,3727.3439999999996,5370.317999999999,15056.508,3727.3439999999996,343.30799999999994,22879.026,1348.71,73.56599999999999,73.56599999999999,269.742
1,21,Chilton,Alabama,AL,41744,6219.856,10436.0,26131.744,4717.072,500.92799999999994,36859.952,4383.12,125.23199999999999,166.97600000000003,1544.5280000000002
1,23,Choctaw,Alabama,AL,14807,2768.9089999999997,3686.9429999999998,8810.165,2028.559,296.14,8247.499,6500.272999999999,14.807,14.807,118.456
1,25,Clarke,Alabama,AL,27269,5235.648,7444.437000000001,15952.365,3381.356,490.84200000000004,15216.101999999999,11916.553,54.538000000000004,54.538000000000004,190.88299999999998
1,27,Clay,Alabama,AL,13964,1954.96,3127.9359999999997,8420.292,2080.636,349.1,11757.688,2094.6,41.891999999999996,13.964,293.244
1,29,Cleburne,Alabama,AL,14460,2024.4,3369.18,9051.96,1850.88,202.44,13780.38,549.48,43.38,28.92,260.28
1,31,Coffee,Alabama,AL,45567,6242.679,11163.915,27841.437,5878.143,683.505,35496.693,8429.895,410.103,546.804,1458.144
1,33,Colbert,Alabama,AL,54660,7652.4,12571.8,33287.94,7652.4,1093.2,44766.54,9128.22,218.64,163.98,710.58
1,35,Conecuh,Alabama,AL,13257,2916.54,3354.021,7861.401,1776.438,278.397,7331.121,5846.337,26.514,13.257,119.31300000000002
1,37,Coosa,Alabama,AL,11162,1495.708,2589.584,6831.144,1540.356,200.91600000000003,7545.512,3527.192,33.486,11.162,167.43
1,39,Covington,Alabama,AL,37003,6475.525,8658.702,21720.761000000002,5735.465,925.075,31859.583,4662.378,185.015,111.009,333.02700000000004
1,41,Crenshaw,Alabama,AL,13727,2415.952,3321.9339999999997,8057.749,2045.323,315.721,10240.341999999999,3376.842,54.908,13.727,109.816
1,43,Cullman,Alabama,AL,79886,10624.838,19092.754,48970.117999999995,10624.838,1198.29,77729.078,958.632,319.54400000000004,239.658,2476.466
1,45,Dale,Alabama,AL,48748,7702.184,13503.195999999998,28956.311999999998,5752.264,584.976,36804.74,10188.332,243.74,633.724,1559.9360000000001
1,47,Dallas,Alabama,AL,44366,11091.5,12866.14,25466.084,5368.286,665.49,14374.583999999999,29680.854000000003,44.36600000000001,133.09799999999998,266.19599999999997
1,49,DeKalb,Alabama,AL,67271,10157.921,16817.75,41169.852,8274.333,1076.336,64580.16,1210.878,538.168,201.813,5919.848000000001
1,51,Elmore,Alabama,AL,73937,9242.125,18558.187,47319.68,7245.826000000001,887.2439999999999,57153.301,15304.958999999999,295.74800000000005,369.685,1256.9289999999999
1,53,Escambia,Alabama,AL,38082,7083.252,9292.008,23382.347999999998,4760.25,647.394,24486.726000000002,12071.993999999999,1104.378,114.24600000000001,380.82
1,55,Etowah,Alabama,AL,103189,16200.672999999999,24765.36,62222.96699999999,14343.271,1857.402,86472.382,15065.594,309.56699999999995,515.945,2476.5359999999996
1,57,Fayette,Alabama,AL,18228,2934.7080000000005,4283.58,11009.712,2479.008,437.472,15931.272000000003,2150.9040000000005,36.456,54.684,164.05200000000002
1,59,Franklin,Alabama,AL,30737,5348.237999999999,7561.302000000001,18503.674000000003,4210.969,461.055,28923.516999999996,1290.9540000000002,122.94800000000001,184.422,3288.8589999999995
1,61,Geneva,Alabama,AL,25735,4529.360000000001,5893.315,15415.265,3885.985,540.435,22595.33,2779.38,180.145,51.47,514.7
1,63,Greene,Alabama,AL,9661,2405.589,2705.08,5593.719,1159.32,202.88100000000003,1922.539,7699.817000000001,9.661,19.322,67.627
